model,train_variant,test_set,seed,tag,n,accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,f1_not_hate,f1_hate
banglabert,augmented,bidwesh_heldout,43,full,4408,0.8901996370235935,0.8901886957159081,0.8901886957159081,0.8901886957159081,0.8901996370235935,0.8912848158131177,0.8890925756186985
banglabert,augmented,bidwesh_heldout,44,full,4408,0.8867967332123412,0.8868794103568433,0.8868828353851614,0.8867967273862697,0.8867969837334159,0.8868224087094579,0.8867710460630814
banglabert,augmented,bidwesh_noakhali,42,full,1475,0.8949152542372881,0.8982674716835676,0.8951348976087252,0.8947292567712859,0.8947082570573822,0.8903043170559094,0.8991541964866623
banglabert,augmented,bidwesh_noakhali,43,full,1475,0.9010169491525424,0.902360649570506,0.9011562914832669,0.9009546253982972,0.9009428344177643,0.8984700973574409,0.9034391534391535
banglabert,augmented,bidwesh_noakhali,44,full,1475,0.8983050847457628,0.9006684709466555,0.8984894115397486,0.8981833610673421,0.8981666538957941,0.8946629213483146,0.9017038007863696
banglabert,augmented,clean,42,full,5028,0.92442322991249,0.9246263120851077,0.925239977485472,0.9244059586449982,0.9244505003348454,0.9255485893416928,0.9232633279483037
banglabert,augmented,clean,43,full,5028,0.9250198886237072,0.9248150079567747,0.9253483666825553,0.9249625407681257,0.9250434053702407,0.9270369653570737,0.9228881161791778
banglabert,augmented,clean,44,full,5028,0.9260143198090692,0.92615562805976,0.9267869004999847,0.9259946363979511,0.9260416845513554,0.9272015655577299,0.9247877072381723
banglabert,clean,augmented,42,full,5028,0.9053301511535402,0.9052796803652968,0.9050618388892833,0.905161548020593,0.9053174263887895,0.9091603053435114,0.9011627906976745
banglabert,clean,augmented,43,full,5028,0.9049323786793954,0.906641193595342,0.9037316942689371,0.9045160695669863,0.9047618424164808,0.9108208955223881,0.8982112436115843
banglabert,clean,augmented,44,full,5028,0.9059268098647574,0.9062941631600876,0.9053255225500239,0.9056842191424814,0.9058706810309759,0.910467537384062,0.9009009009009009
banglabert,clean,bidwesh_barishal,42,full,1439,0.9166087560806115,0.9165613831739592,0.9166837359757912,0.9165942154987539,0.9166148784308674,0.9176954732510288,0.9154929577464789
banglabert,clean,bidwesh_barishal,43,full,1439,0.9096594857539958,0.9098997144647956,0.9094450606572393,0.9095860882341569,0.9096344231862459,0.9121621621621622,0.9070100143061517
banglabert,clean,bidwesh_barishal,44,full,1439,0.9124391938846421,0.912487918035956,0.9123300959617235,0.9123931210959243,0.9124308170139661,0.9144021739130435,0.9103840682788051
banglabert,clean,bidwesh_chittagong,42,full,1494,0.8360107095046854,0.8370828558733425,0.8358196650800023,0.8358193892174475,0.8358569029992589,0.8414239482200647,0.8302148302148302
banglabert,clean,bidwesh_chittagong,43,full,1494,0.8313253012048193,0.8406012401269654,0.830771133222458,0.8299982118763919,0.8300987489467273,0.8450184501845018,0.8149779735682819
banglabert,clean,bidwesh_chittagong,44,full,1494,0.8373493975903614,0.842577255905232,0.836934392384011,0.8366026280079304,0.8366765655903492,0.8476489028213167,0.8255563531945441
banglabert,clean,bidwesh_heldout,42,full,4408,0.8804446460980037,0.8804424599314684,0.8804802916618284,0.8804413910803098,0.8804476180706805,0.8810652222974498,0.8798175598631699
banglabert,clean,bidwesh_heldout,43,full,4408,0.8781760435571688,0.8796159728965844,0.8778717564192202,0.8779881070290072,0.8780359059147824,0.8827766863130321,0.8731995277449823
banglabert,clean,bidwesh_heldout,44,full,4408,0.8827132486388385,0.8831603714736145,0.8825452962777212,0.8826361213315999,0.882666153203445,0.8856447688564477,0.879627473806752
banglabert,clean,bidwesh_noakhali,42,full,1475,0.8901694915254237,0.8921707711746061,0.8903407649284603,0.8900578628297573,0.8900412372793389,0.8865546218487395,0.8935611038107752
banglabert,clean,bidwesh_noakhali,43,full,1475,0.8949152542372881,0.8949354102086068,0.8949354102086068,0.8949152542372881,0.8949152542372881,0.8949152542372881,0.8949152542372881
banglabert,clean,bidwesh_noakhali,44,full,1475,0.8996610169491526,0.9001814815223833,0.8997488481211413,0.8996406740763081,0.8996338931186931,0.8982118294360385,0.9010695187165776
banglabert,clean,clean,42,full,5028,0.9230310262529833,0.9228480384965787,0.9234185952760058,0.9229787429934337,0.9230569683283323,0.9249854622988951,0.9209720236879723
banglabert,clean,clean,43,full,5028,0.9240254574383453,0.9239573558874996,0.9238477150796629,0.9239001856162612,0.9240205448178713,0.9269877675840978,0.9208126036484245
banglabert,clean,clean,44,full,5028,0.9248210023866349,0.9246183804123574,0.9251569424865369,0.9247643273978752,0.924844822309447,0.926829268292683,0.9226993865030675
banglabert,dialect,augmented,42,full,5028,0.9095067621320605,0.9092753474503054,0.9096408070748354,0.9094138819917574,0.909526953466909,0.9123145114665638,0.9065132525169509
banglabert,dialect,augmented,43,full,5028,0.9049323786793954,0.9075948751019017,0.9034366347879882,0.9044147674241577,0.9046889614944998,0.9114486846980363,0.8973808501502791
banglabert,dialect,augmented,44,full,5028,0.9085123309466985,0.9088047438301246,0.9079693315619201,0.9082892136492398,0.908465548287554,0.9128127369219106,0.9037656903765691
banglabert,dialect,bidwesh_barishal,42,full,1439,0.9200833912439194,0.9202805309221584,0.9203552477497497,0.9200827737413103,0.9200869418839215,0.9203049203049203,0.9198606271777003
banglabert,dialect,bidwesh_barishal,43,full,1439,0.9089645587213343,0.9093760646040447,0.9086846712451062,0.9088714375146536,0.908926095614227,0.9117845117845118,0.9059583632447954
banglabert,dialect,bidwesh_barishal,44,full,1439,0.9124391938846421,0.9123915773205834,0.9125127053631126,0.9124239262736915,0.9124456223524108,0.9135802469135802,0.9112676056338028
banglabert,dialect,bidwesh_chittagong,42,full,1494,0.8674698795180723,0.8695677233429395,0.8677238057005219,0.8673329350791934,0.8673044049877604,0.8630705394190872,0.8715953307392996
banglabert,dialect,bidwesh_chittagong,43,full,1494,0.8842034805890228,0.8865888318461108,0.8839429087572404,0.8839701249850171,0.8840049541796449,0.8891736066623959,0.8787666433076384
banglabert,dialect,bidwesh_chittagong,44,full,1494,0.8761713520749665,0.8765965651764496,0.8762867752480358,0.8761553168885183,0.8761458844259017,0.8747461069735951,0.8775645268034414
banglabert,dialect,bidwesh_heldout,42,full,4408,0.8933756805807622,0.8948178235288288,0.8936866447113234,0.8933229527425665,0.893299279019295,0.8909512761020881,0.8956946293830448
banglabert,dialect,bidwesh_heldout,43,full,4408,0.8981397459165155,0.8988684895067518,0.8979325659669122,0.8980497033400241,0.8980799466481586,0.9010795329367702,0.895019873743278
banglabert,dialect,bidwesh_heldout,44,full,4408,0.8972323049001815,0.8975606666508755,0.8973873882776915,0.8972278566599053,0.8972211076056933,0.896551724137931,0.8979039891818796
banglabert,dialect,bidwesh_noakhali,42,full,1475,0.8935593220338983,0.8961524232334444,0.8937531945562922,0.8934164676447698,0.893397949483216,0.8895144264602393,0.8973185088293002
banglabert,dialect,bidwesh_noakhali,43,full,1475,0.9016949152542373,0.9018035814131427,0.9016573082254998,0.9016802732127646,0.901685967340004,0.9028801071667782,0.9004804392587509
banglabert,dialect,bidwesh_noakhali,44,full,1475,0.903728813559322,0.904725491785759,0.9038489117364781,0.9036862706146789,0.9036766641433078,0.9016620498614959,0.9057104913678619
banglabert,dialect,clean,42,full,5028,0.926412092283214,0.9265534166463605,0.9271852783383873,0.9263925146968868,0.9264393099032298,0.9275929549902152,0.9251920744035584
banglabert,dialect,clean,43,full,5028,0.9248210023866349,0.9251470081095001,0.9243183523827876,0.9246406104804279,0.9247843373650482,0.9283276450511946,0.9209535759096612
banglabert,dialect,clean,44,full,5028,0.9238265712012729,0.9236024579231452,0.9240134681500562,0.9237522289138856,0.923845038393681,0.9261330761812921,0.9213713816464791
banglabert-adapt1000,augmented,augmented,42,full,5028,0.9085123309466985,0.90869325528862,0.9092893345030071,0.9084903084903084,0.908545646970468,0.9099099099099099,0.907070707070707
banglabert-adapt1000,augmented,augmented,43,full,5028,0.9154733492442323,0.9153037770468664,0.9158804752390901,0.9154193872823515,0.9155026671605296,0.9175557710960233,0.9132830034686799
banglabert-adapt1000,augmented,augmented,44,full,5028,0.9136833731105808,0.9135349910279416,0.9141265985821933,0.9136325244697399,0.9137142157287957,0.9157281553398058,0.9115368935996738
banglabert-adapt1000,augmented,bidwesh_barishal,42,full,1439,0.9131341209173037,0.9137839363672571,0.9135600524059997,0.9131314360611149,0.9131223746714777,0.9126484975541579,0.9136143745680718
banglabert-adapt1000,augmented,bidwesh_barishal,43,full,1439,0.9047949965253649,0.9057462992625609,0.9052962523526661,0.9047859842310525,0.9047686033777359,0.903859649122807,0.905712319339298
