pred_class,p_orig,comprehensiveness,sufficiency,deletion_auc,n_words,k
0,0.9342290801750296,0.11587344019149048,-0.05284464342223649,0.7660326882322456,8,2
0,0.8596423022808795,0.2033619456755238,-0.13084972053375976,0.5608367146804489,46,9
0,0.9350234336648429,0.0042080254756948765,-0.050771923422521126,0.8476875815733954,7,1
0,0.6703332597994729,0.4139025031557786,-0.3179088041290903,0.36095704030024256,28,6
0,0.9975644818246019,0.0034498864554090014,0.0026543419283554526,0.9043979743073848,7,1
0,0.9489133974581676,0.10211873412235506,-0.04783403186526758,0.7866685101126947,15,3
0,0.9840341371680827,0.003979858970452277,0.006099861949621199,0.8903857329619178,6,1
1,0.9691565930160926,0.11907292196065278,0.02760215424334611,0.8157236225819253,7,1
0,0.6749675512015532,0.24885704480158655,-0.31987281627005626,0.40333260690921713,26,5
1,0.9994159903311955,0.5789158449374083,-0.0005731824674418684,0.5444598451449969,10,2
1,0.9929441343983046,0.1802616932396256,-0.006927943192967412,0.726829498582472,15,3
1,0.9825628559757228,0.9319753372862933,-0.01737586381592049,0.25396797557803646,13,3
1,0.9998703034205518,0.05133998811791152,-0.00011647447873264216,0.8448062312464709,6,1
1,0.9863994846680831,0.7743461501749738,-0.013591161419695408,0.5031423033753515,7,1
1,0.9206207832501199,0.8391122695973586,-0.07725738455919451,0.19989892360513795,70,14
1,0.9929797980195296,0.2818920740793619,-0.006600539641289371,0.7296933940751614,6,1
1,0.9999991524390082,2.212888614461228e-05,0.00019746911032947345,0.87821390554843,11,2
0,0.7423856236290186,0.539812463314835,-0.2552536915481698,0.2973915296839025,13,3
1,0.9999674949190062,0.029678088827430504,-3.225439464216162e-05,0.8801081806698182,6,1
1,0.5654240557239781,0.5415796092424082,-0.4326206908017912,0.04732955174668752,33,7
1,0.9924344823179451,0.519475256044876,-0.006883119249710412,0.47061319754587,25,5
0,0.5780092243738626,0.11418895044249688,-0.4064462244504381,0.459053471215935,7,1
1,0.6401215869006136,0.6102152416484686,-0.35604636393880684,0.10162532870737938,40,8
